;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;Unnamed: 0.1.1.1;Unnamed: 0.1.1.1.1;Unnamed: 0.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1;Unnamed: 0.1.1.1.1.1.1.1.1;cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor;malus;Valeur_malus;Compteur_malus
98;98;98;98;98;98;98;98;98;98;cluster_3;petit-dejeuner;seul;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.6838730155314421;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
99;99;99;99;99;99;99;99;99;99;cluster_3;petit-dejeuner;seul;yaourts et assimilés;lait en bouteille ou en brique;0.937892421581915;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
100;100;100;100;100;100;100;100;100;100;cluster_3;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau minérale plate;0.026938775510204082;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;False;0.2;0
101;101;101;101;101;101;101;101;101;101;cluster_3;petit-dejeuner;seul;jus de fruits (purs et à base  de concentré);eau du robinet;0.5800475533484399;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
102;102;102;102;102;102;102;102;102;102;cluster_3;petit-dejeuner;seul;eau minérale plate;eau du robinet;0.9194139194139194;99.83238516227932;99.83238516227932;0.0;0.0;True;0.2;1
103;103;103;103;103;103;103;103;103;103;cluster_3;petit-dejeuner;seul;eau du robinet;eau minérale plate;0.08058608058608058;99.83238516227932;99.83238516227932;0.0;0.0;False;0.2;0
104;104;104;104;104;104;104;104;104;104;cluster_3;petit-dejeuner;seul;viennoiserie;fruits;0.7472932192626119;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469;True;0.2;3
105;105;105;105;105;105;105;105;105;105;cluster_3;petit-dejeuner;accompagne;beurre;margarine;0.25554286829536005;47.14204550098295;69.92222764099368;22.78018214001073;0.3059352169667405;False;1.0;0
106;106;106;106;106;106;106;106;106;106;cluster_3;petit-dejeuner;accompagne;café;thé et infusions;0.09663883083766683;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
107;107;107;107;107;107;107;107;107;107;cluster_3;petit-dejeuner;accompagne;café;chicorée et poudre maltée;0.0519187833693792;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
108;108;108;108;108;108;108;108;108;108;cluster_3;petit-dejeuner;accompagne;café;cacao, poudres et boissons cacaotées;0.007459207459207459;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
109;109;109;109;109;109;109;109;109;109;cluster_3;petit-dejeuner;accompagne;thé et infusions;café;0.9033611691623332;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
110;110;110;110;110;110;110;110;110;110;cluster_3;petit-dejeuner;accompagne;thé et infusions;chicorée et poudre maltée;0.4023435826889575;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
111;111;111;111;111;111;111;111;111;111;cluster_3;petit-dejeuner;accompagne;thé et infusions;cacao, poudres et boissons cacaotées;0.07054673721340389;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
112;112;112;112;112;112;112;112;112;112;cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;café;0.9480812166306208;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
113;113;113;113;113;113;113;113;113;113;cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;thé et infusions;0.5976564173110426;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
114;114;114;114;114;114;114;114;114;114;cluster_3;petit-dejeuner;accompagne;chicorée et poudre maltée;cacao, poudres et boissons cacaotées;0.163265306122449;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
115;115;115;115;115;115;115;115;115;115;cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;café;0.9925407925407924;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
116;116;116;116;116;116;116;116;116;116;cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;thé et infusions;0.929453262786596;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
117;117;117;117;117;117;117;117;117;117;cluster_3;petit-dejeuner;accompagne;cacao, poudres et boissons cacaotées;chicorée et poudre maltée;0.8367346938775511;86.04876542552309;86.04876542552309;0.0;0.0;False;1.0;0
118;118;118;118;118;118;118;118;118;118;cluster_3;petit-dejeuner;accompagne;biscottes et panification sèche;pain;0.9613803259846754;86.99778787025706;92.77109206705057;5.773304196793504;0.07753480903731626;False;1.0;0
119;119;119;119;119;119;119;119;119;119;cluster_3;petit-dejeuner;accompagne;sucre et assimilés;confiture et miel;0.4873650576461856;61.33093500768159;79.62831934953721;18.297384341855626;0.24573175991940524;False;1.0;0
120;120;120;120;120;120;120;120;120;120;cluster_3;petit-dejeuner;accompagne;yaourts et assimilés;lait en bouteille ou en brique;0.9795131845841786;91.67958328622757;96.43442144006512;4.754838153837554;0.0638569276266262;False;1.0;0
121;121;121;121;121;121;121;121;121;121;cluster_3;petit-dejeuner;accompagne;jus de fruits (purs et à base  de concentré);eau du robinet;0.4998491676927816;95.12028430661472;99.83238516227932;4.712100855664601;0.06328297064468663;True;0.2;1
122;122;122;122;122;122;122;122;122;122;cluster_3;petit-dejeuner;accompagne;viennoiserie;fruits;0.5142129104234614;76.75344943387296;95.09128212732844;18.337832693455482;0.2462749766130469;True;0.2;3
