cluster;tyrep;avecqui;aliment_1;aliment_2;score_substitution;score_sainlim_1;score_sainlim_2;score_sainlim;score_sainlim_nor
cluster_1;diner;all;volailles et lapins;poissons de mer;0.878256359;97.01598859;97.35574391;0.339755327;0.004562875
cluster_2;diner;all;porc;boeuf en pièces ou haché;0.811073275;90.63694509;95.10780542;4.470860333;0.060043138
cluster_2;diner;all;porc;volailles et lapins;0.894919696;90.63694509;97.01598859;6.379043498;0.085669818
cluster_2;diner;all;porc;poissons de mer;0.8942266;90.63694509;97.35574391;6.718798825;0.090232693
cluster_2;diner;all;boeuf en pièces ou haché;volailles et lapins;0.669034743;95.10780542;97.01598859;1.908183164;0.02562668
cluster_2;diner;all;boeuf en pièces ou haché;poissons de mer;0.665162032;95.10780542;97.35574391;2.247938492;0.030189554
cluster_2;diner;all;volailles et lapins;poissons de mer;0.492527285;97.01598859;97.35574391;0.339755327;0.004562875
cluster_3;diner;all;boeuf en pièces ou haché;volailles et lapins;0.960555849;95.10780542;97.01598859;1.908183164;0.02562668
cluster_3;diner;all;boeuf en pièces ou haché;poissons de mer;0.950196219;95.10780542;97.35574391;2.247938492;0.030189554
cluster_3;diner;all;volailles et lapins;poissons de mer;0.491349981;97.01598859;97.35574391;0.339755327;0.004562875
cluster_4;diner;all;boeuf en pièces ou haché;volailles et lapins;0.842917885;95.10780542;97.01598859;1.908183164;0.02562668
cluster_4;diner;all;boeuf en pièces ou haché;poissons de mer;0.839567762;95.10780542;97.35574391;2.247938492;0.030189554
cluster_4;diner;all;volailles et lapins;poissons de mer;0.482189366;97.01598859;97.35574391;0.339755327;0.004562875
cluster_5;diner;all;porc;boeuf en pièces ou haché;0.796340635;90.63694509;95.10780542;4.470860333;0.060043138
cluster_5;diner;all;porc;volailles et lapins;0.774381565;90.63694509;97.01598859;6.379043498;0.085669818
cluster_5;diner;all;porc;poissons de mer;0.86235774;90.63694509;97.35574391;6.718798825;0.090232693
cluster_5;diner;all;boeuf en pièces ou haché;volailles et lapins;0.468294998;95.10780542;97.01598859;1.908183164;0.02562668
cluster_5;diner;all;boeuf en pièces ou haché;poissons de mer;0.630839138;95.10780542;97.35574391;2.247938492;0.030189554
cluster_5;diner;all;volailles et lapins;poissons de mer;0.655126342;97.01598859;97.35574391;0.339755327;0.004562875
cluster_6;diner;all;boeuf en pièces ou haché;volailles et lapins;0.465938916;95.10780542;97.01598859;1.908183164;0.02562668
cluster_6;diner;all;boeuf en pièces ou haché;poissons de mer;0.289377289;95.10780542;97.35574391;2.247938492;0.030189554
cluster_6;diner;all;volailles et lapins;poissons de mer;0.304431599;97.01598859;97.35574391;0.339755327;0.004562875
cluster_7;diner;all;porc;boeuf en pièces ou haché;0.9272408;90.63694509;95.10780542;4.470860333;0.060043138
cluster_7;diner;all;porc;volailles et lapins;0.922250689;90.63694509;97.01598859;6.379043498;0.085669818
